ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
OCUL UQ,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ODFL UW,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
ODP UW,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
OEC UN,Materials,Materials,Chemicals,Commodity Chemicals
OFC UN,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
OFG UN,Financials,Banks,Banks,Regional Banks
OFIX UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
OFLX UQ,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
OGE UN,Utilities,Utilities,Electric Utilities,Electric Utilities
OGN UN,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
OGS UN,Utilities,Utilities,Gas Utilities,Gas Utilities
OHI UN,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
OI UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
OII UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
OIS UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
OKE UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
OKTA UW,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
OLED UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
OLLI UQ,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
OLN UN,Materials,Materials,Chemicals,Commodity Chemicals
OLO UN,Information Technology,Software & Services,Software,Application Software
OLP UN,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
OLPX UW,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
OM UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
OMC UN,Communication Services,Media & Entertainment,Media,Advertising
OMCL UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
OMF UN,Financials,Financial Services,Consumer Finance,Consumer Finance
OMI UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
OMIC UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ON UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ONB UW,Financials,Banks,Banks,Regional Banks
ONDS UR,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ONEW UQ,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ONL UN,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
